color,title_year,movie_title,movie_facebook_likes,duration,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes,gross,genres,num_voted_users,num_critic_for_reviews,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,aspect_ratio,imdb_score
 Black and White,1949,Sands of Iwo Jima??,624,109,Allan Dwan,23,James Brown,183,Richard Jaeckel,102,Forrest Tucker,88,510,,Action|Drama|Romance|War,7346,40,0,battle|combat|heroic military|sergeant|tarawa,69,English,USA,Approved,1000000,1.37,7.2
Color,1950,Annie Get Your Gun??,456,107,George Sidney,24,Keenan Wynn,277,Howard Keel,244,Betty Hutton,83,731,8000000,Biography|Comedy|Musical|Romance|Western,3167,21,0,girl|gun|love|sharpshooter|the end,90,English,USA,Passed,3768785,1.37,7
Color,1951,Quo Vadis??,1000,171,Mervyn LeRoy,54,Peter Ustinov,440,Deborah Kerr,426,Robert Taylor,346,1373,,Biography|Drama|History|Romance,9808,54,0,christian|emperor|general|hostage|nero,90,English,USA,Passed,7623000,1.37,7.2
Color,1951,Show Boat??,438,108,George Sidney,24,Agnes Moorehead,960,Ava Gardner,715,Howard Keel,244,2329,,Drama|Family|Musical|Romance,3538,14,3,gambling|interracial marriage|love|miscegenation|showboat,46,English,USA,Approved,2295429,1.33,7
 Black and White,1951,A Streetcar Named Desire??,5000,125,Elia Kazan,603,Marlon Brando,10000,Karl Malden,416,Kim Hunter,114,10570,,Drama,78454,94,0,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,233,English,USA,PG,1800000,1.37,8
Color,1952,The Greatest Show on Earth??,625,152,Cecil B. DeMille,309,Gloria Grahame,232,Dorothy Lamour,178,Cornel Wilde,132,825,36000000,Drama|Family|Romance,9456,44,0,circus|clown|elephant trainer|trapeze|trapeze artist,107,English,USA,Not Rated,4000000,1.37,6.7
Color,1952,Singin' in the Rain??,0,103,Stanley Donen,134,Rita Moreno,804,Debbie Reynolds,786,Cyd Charisse,390,2510,,Comedy|Musical|Romance,150020,169,0,actress|chorus girl|fan|friend|love,568,English,USA,Approved,2540800,1.37,8.3
 Black and White,1952,Deadline - U.S.A.??,169,87,Richard Brooks,174,Humphrey Bogart,2000,Jim Backus,399,Kim Hunter,114,2831,,Crime|Drama|Film-Noir,1756,27,0,editor|gangster|newspaper|organized crime|press,28,English,USA,,,1.37,7.2
 Black and White,1952,High Noon??,3000,85,Fred Zinnemann,160,Gary Cooper,998,Lloyd Bridges,575,Lon Chaney Jr.,433,2496,,Thriller|Western,80193,153,0,appeasement|frontier justice|justice|one against many|street shootout,333,English,USA,PG,750000,1.37,8.1
Color,1953,The Robe??,0,135,Henry Koster,28,Richard Burton,726,Jean Simmons,422,Victor Mature,275,1920,36000000,Drama|History,6359,42,1,box office hit|crucifixion|nightmare|palestine|robe,69,English,USA,Unrated,5000000,2.2,6.8
 Black and White,1953,From Here to Eternity??,0,118,Fred Zinnemann,160,Montgomery Clift,862,Donna Reed,488,Deborah Kerr,426,2247,,Drama|Romance|War,33987,101,5,boxing|captain|hawaii|love|sergeant,150,English,USA,Not Rated,1650000,1.37,7.8
Color,1953,Niagara??,1000,92,Henry Hathaway,83,Joseph Cotten,469,Jean Peters,79,Will Wright,48,683,,Crime|Film-Noir|Thriller,11047,74,0,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,116,English,USA,Approved,1250000,1.37,7.1
 Black and White,1953,"The Beast from 20,000 Fathoms??",465,80,Eug??ne Louri??,7,Kenneth Tobey,57,Cecil Kellaway,40,Ross Elliott,21,205,5000000,Adventure|Horror|Sci-Fi,4812,67,0,arctic|beast|dinosaur|monster|rhedosaurus,88,English,USA,Approved,210000,1.37,6.7
Color,1954,"20,000 Leagues Under the Sea??",0,127,Richard Fleischer,130,James Mason,617,Robert J. Wilke,53,Paul Lukas,51,799,,Adventure|Drama|Family|Fantasy|Sci-Fi,22123,69,0,captain|expedition|sea|submarine|whale,108,English,USA,Approved,5000000,1.37,7.2
Color,1954,The Egyptian??,376,139,Michael Curtiz,345,Gene Tierney,535,Peter Ustinov,440,Jean Simmons,422,2112,,Drama|History,2498,15,0,afterlife|egypt|pharaoh|princess|pyramid,67,English,USA,Approved,5000000,2.55,6.6
 Black and White,1954,On the Waterfront??,0,108,Elia Kazan,603,Marlon Brando,10000,Karl Malden,416,Rod Steiger,279,11094,9600000,Crime|Drama|Romance,100890,134,2,death|dock|longshoreman|murder|union,281,English,USA,Not Rated,910000,1.85,8.2
 Black and White,1954,Seven Samurai??,11000,202,Akira Kurosawa,0,Takashi Shimura,304,Minoru Chiaki,8,Kamatari Fujiwara,4,338,269061,Action|Adventure|Drama,229012,153,6,16th century|battle|japan|practice|samurai,596,Japanese,Japan,Unrated,2000000,1.37,8.7
Color,1954,"20,000 Leagues Under the Sea??",0,127,Richard Fleischer,130,James Mason,618,Robert J. Wilke,53,Paul Lukas,51,800,,Adventure|Drama|Family|Fantasy|Sci-Fi,22124,69,0,captain|expedition|sea|submarine|whale,108,English,USA,Approved,5000000,1.37,7.2
Color,1955,The Trouble with Harry??,0,99,Alfred Hitchcock,13000,Jerry Mathers,282,John Forsythe,255,Royal Dano,232,1041,,Comedy|Mystery|Romance,24891,73,0,artist|death|hunting|sheriff|vermont,150,English,USA,Approved,1200000,1.5,7.2
 Black and White,1955,Ordet??,863,126,Carl Theodor Dreyer,147,Hanne Aagesen,0,Sylvia Eckhausen,0,Ejner Federspiel,0,0,,Drama|Fantasy,9903,54,0,august|doctor|faith|patriarch|prayer,49,Danish,Denmark,Not Rated,,1.37,8.1
Color,1956,Moby Dick??,0,115,John Huston,1000,Royal Dano,232,Richard Basehart,169,James Robertson Justice,68,588,,Adventure|Drama,13474,42,0,obsession|revenge|ship|whale|whaling,115,English,USA,Unrated,4500000,1.66,7.4
Color,1956,Trapeze??,283,105,Carol Reed,82,Gina Lollobrigida,746,Katy Jurado,119,Sidney James,69,986,,Drama|Romance,3102,20,0,acrobat|circus|cripple|trapeze|trapeze artist,35,English,USA,Approved,4000000,2.35,6.8
 Black and White,1956,Love Me Tender??,365,89,Robert D. Webb,0,James Drury,356,Neville Brand,110,Debra Paget,102,831,,Drama|Romance|Western,2636,39,1,army|civil war|robbery|soldier|train,36,English,USA,,1000000,2.35,6.2
Color,1957,The Bridge on the River Kwai??,0,161,David Lean,767,William Holden,682,Sessue Hayakawa,119,Jack Hawkins,87,1035,27200000,Adventure|Drama|War,149444,122,2,allies|bridge|construction|jungle|sabotage,273,English,UK,PG,3000000,2.35,8.2
 Black and White,1957,12 Angry Men??,40000,96,Sidney Lumet,0,Jack Warden,359,Lee J. Cobb,259,John Fiedler,253,1433,,Crime|Drama,447785,177,1,courtroom|dialogue driven|dialogue driven storyline|jury|murder,888,English,USA,Not Rated,350000,1.66,8.9
Color,1958,Cat on a Hot Tin Roof??,0,108,Richard Brooks,174,Burl Ives,253,Judith Anderson,197,Jack Carson,110,649,,Drama|Romance,33741,70,0,cancer|football|homosexuality|marriage|mississippi,141,English,USA,Approved,3000000,1.85,8.1
Color,1959,Solomon and Sheba??,270,141,King Vidor,54,Gina Lollobrigida,746,George Sanders,333,Finlay Currie,70,1332,,Drama|History|Romance|War,2017,14,2,king|pharaoh|queen|queen of sheba|tribe,33,English,USA,,5000000,2.2,6.2
Color,1959,The Nun's Story??,930,149,Fred Zinnemann,160,Colleen Dewhurst,157,Peter Finch,139,Beatrice Straight,75,646,,Drama,7071,25,0,belgium|congo|convent|nun|nurse,83,English,USA,Not Rated,3500000,1.78,7.6
 Black and White,1959,Some Like It Hot??,10000,120,Billy Wilder,0,Nehemiah Persoff,105,Joe E. Brown,103,George Raft,102,527,25000000,Comedy|Music|Romance,175196,181,2,all girl band|band|cross dressing|musician|yacht,350,English,USA,Not Rated,2883848,1.66,8.3
 Black and White,1960,Psycho??,18000,108,Alfred Hitchcock,13000,Janet Leigh,606,Vera Miles,332,John Gavin,285,1885,32000000,Horror|Mystery|Thriller,422432,290,2,money|motel|rain|shower|theft,1040,English,USA,R,806947,1.85,8.5
 Black and White,1960,The Apartment??,0,125,Billy Wilder,0,Fred MacMurray,516,Ray Walston,417,David White,180,1328,,Comedy|Drama|Romance,109335,183,2,apartment|elevator|elevator girl|love|mistress,241,English,USA,Approved,3000000,2.35,8.3
Color,1960,Elmer Gantry??,808,146,Richard Brooks,174,Shirley Jones,556,Jean Simmons,422,Edward Andrews,125,1444,,Drama,7998,42,1,1920s|evangelist|preacher|revival|traveling salesman,81,English,USA,Approved,3000000,1.66,7.9
Color,1961,West Side Story??,0,152,Jerome Robbins,34,Rita Moreno,804,George Chakiris,271,Richard Beymer,249,1802,43650000,Crime|Drama|Musical|Romance|Thriller,71919,120,0,dance|gang|new york city|puerto rican|tragedy,316,English,USA,Unrated,6000000,2.2,7.6
 Black and White,1961,The Misfits??,0,120,John Huston,1000,Montgomery Clift,862,Kevin McCarthy,403,Thelma Ritter,268,1652,,Drama|Romance|Western,12981,70,2,cowboy|divorce|horse|sexy|wild horse,121,English,USA,Approved,4000000,1.66,7.4
 Black and White,1961,Judgment at Nuremberg??,0,186,Stanley Kramer,176,Maximilian Schell,877,Montgomery Clift,862,Spencer Tracy,760,3847,,Drama|War,44457,73,0,judge|law|nazi|nuremberg|war crime,176,English,USA,Not Rated,3000000,1.75,8.3
Color,1961,Pocketful of Miracles??,612,136,Frank Capra,964,Ann-Margret,931,Glenn Ford,416,Thomas Mitchell,248,2167,,Comedy|Drama,4313,21,2,1930s|apple|dude|luck|new york city,40,English,USA,Approved,2900000,2.35,7.3
 Black and White,1961,The Hustler??,0,134,Robert Rossen,31,George C. Scott,654,Jackie Gleason,491,Murray Hamilton,366,2290,,Drama|Sport,62860,100,1,drink|manager|money|partner|pool hall,167,English,USA,Unrated,2000000,2.35,8
 Black and White,1962,Lolita??,0,152,Stanley Kubrick,0,James Mason,617,Shelley Winters,367,Lois Maxwell,177,1403,,Crime|Drama|Romance,67822,103,0,lolita|nymphet|older man young girl relationship|professor|writer,207,English,UK,Not Rated,2000000,1.66,7.7
Color,1962,Lawrence of Arabia??,11000,227,David Lean,767,Claude Rains,607,Jos?? Ferrer,202,Jack Hawkins,87,1076,6000000,Adventure|Biography|Drama|History|War,192775,181,8,arab|british military|desert|ottoman empire|t.e. lawrence,559,English,UK,PG,15000000,2.2,8.4
 Black and White,1962,The Longest Day??,0,178,Ken Annakin,19,Richard Burton,726,Richard Beymer,249,Eddie Albert,196,1554,,Action|Drama|History|War,43270,53,3,allies|d day|invasion|normandy|world war two,192,English,USA,G,10000000,2.35,7.8
 Black and White,1962,The Man Who Shot Liberty Valance??,0,113,John Ford,673,Lee Marvin,756,Woody Strode,423,Vera Miles,332,2693,,Drama|Western,53741,107,1,friend|funeral|outlaw|pistol|stagecoach,214,English,USA,Approved,3200000,1.85,8.1
 Black and White,1962,To Kill a Mockingbird??,15000,129,Robert Mulligan,89,Robert Duvall,3000,Brock Peters,226,William Windom,161,3833,,Crime|Drama,215086,127,0,1930s|alabama|lawyer|six year old|trial,471,English,USA,Not Rated,2000000,1.85,8.4
 Black and White,1962,Lolita??,0,152,Stanley Kubrick,0,James Mason,618,Shelley Winters,367,Lois Maxwell,177,1404,,Crime|Drama|Romance,67825,103,0,lolita|nymphet|older man young girl relationship|professor|writer,207,English,UK,Not Rated,2000000,1.66,7.7
Color,1962,Dr. No??,5000,110,Terence Young,92,Ursula Andress,650,Jack Lord,275,Lois Maxwell,177,1421,16067035,Action|Adventure|Thriller,116642,184,4,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,389,English,UK,Approved,1100000,1.37,7.3
 Black and White,1962,The Brain That Wouldn't Die??,1000,70,Joseph Green,2,Virginia Leith,24,Jason Evers,16,Bruce Kerr,6,52,,Horror|Sci-Fi,4752,95,1,brain|fiance|laboratory|surgeon|surgery,152,English,USA,Approved,62000,1.66,4.1
Color,1963,Cleopatra??,0,251,Joseph L. Mankiewicz,311,Martin Landau,940,Richard Burton,726,Roddy McDowall,595,2957,57750000,Biography|Drama|History|Romance,21554,72,2,cleopatra|egypt|epic|queen|roman empire,192,English,UK,Approved,31115000,2.2,7
Color,1963,55 Days at Peking??,419,154,Nicholas Ray,117,Ava Gardner,715,David Niven,490,John Ireland,86,1567,,Action|Adventure|Drama|History|War,4550,15,3,ambassador|boxer rebellion|china|colonialism|peking china,50,English,USA,Unrated,9000000,2.2,6.8
Color,1963,"It's a Mad, Mad, Mad, Mad World??",0,197,Stanley Kramer,176,Jonathan Winters,924,Sid Caesar,898,Spencer Tracy,760,4109,46300000,Action|Adventure|Comedy|Crime,29323,61,0,california|desert|dying words|money|race,344,English,USA,Approved,9400000,2.76,7.6
Color,1963,The Great Escape??,8000,172,John Sturges,120,James Coburn,773,Donald Pleasence,742,Gordon Jackson,145,1785,,Adventure|Drama|History|Thriller|War,165638,111,0,digging|escape|escape attempt|prisoner|tunnel,301,English,USA,Approved,4000000,2.35,8.3
Color,1963,Donovan's Reef??,573,109,John Ford,673,Lee Marvin,756,Cesar Romero,370,Jack Warden,359,1949,,Adventure|Comedy|Romance,5786,27,1,falling into water|medical doctor|priest|roof leak|swimming in the ocean,65,English,USA,Not Rated,2686585,1.85,6.9
 Black and White,1963,Hud??,1000,112,Martin Ritt,58,Patricia Neal,617,Melvyn Douglas,189,Whit Bissell,124,1141,,Drama,15277,65,0,alcoholism|forename as title|rancher|rodeo cowboy|texas,120,English,USA,Approved,2500000,2.35,7.9
Color,1963,From Russia with Love??,0,115,Terence Young,92,Robert Shaw,559,Daniela Bianchi,201,Lois Maxwell,177,1456,24800000,Action|Adventure|Thriller,89403,167,0,assassin|british agent|british secret service|decoder|russian,358,English,UK,Approved,2000000,1.37,7.5
Color,1963,Tom Jones??,328,121,Tony Richardson,62,Albert Finney,883,Susannah York,269,Hugh Griffith,69,1371,,Adventure|Comedy|History,8508,30,1,18th century|rags to riches|secret letter|squire|tutor,56,English,UK,Unrated,1000000,1.37,6.8
Color,1964,The Fall of the Roman Empire??,560,172,Anthony Mann,75,James Mason,617,Mel Ferrer,134,Stephen Boyd,102,1131,,Drama|History|War,6156,30,0,2nd century|emperor|european history|loosely based on historical events|roman empire,91,English,USA,Approved,19000000,2.2,6.7
Color,1964,My Fair Lady??,0,170,George Cukor,165,Jeremy Brett,453,Rex Harrison,272,Theodore Bikel,244,1164,72000000,Drama|Family|Musical|Romance,66959,82,1,colonel|flower girl|professor|street|wager,258,English,USA,Approved,17000000,2.2,7.9
Color,1964,Mary Poppins??,0,139,Robert Stevenson,55,Ed Wynn,382,Glynis Johns,279,Elsa Lanchester,266,2045,102300000,Comedy|Family|Fantasy|Musical,107408,145,2,banker|female protagonist|live action and animation|magic|nanny,259,English,USA,Approved,6000000,1.66,7.8
 Black and White,1964,The Train??,0,133,John Frankenheimer,287,Jeanne Moreau,343,Paul Scofield,94,Michel Simon,28,502,,Thriller|War,10119,64,0,art|french|german|painting|train,124,English,France,Unrated,6700000,1.66,7.9
Color,1964,Goldfinger??,0,110,Guy Hamilton,82,Honor Blackman,387,Gert Fr??be,202,Lois Maxwell,177,1198,51100000,Action|Adventure|Thriller,139432,164,2,bikini|covered in melted gold|fort knox|gold|pilot,418,English,UK,Approved,3000000,1.37,7.8
 Black and White,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb??,18000,95,Stanley Kubrick,0,George C. Scott,654,Slim Pickens,575,Keenan Wynn,277,1991,,Comedy,342585,192,0,bomber|doomsday|general|u.s. president|war room,839,English,USA,PG,1800000,1.66,8.5
